id ,material  ,status ,plant_project,project,variant,cover_material            ,cover_color        ,thread_color,zoning_template_id,color_material_code,supplier_inspection_code,perforated,easy_entry,config_camera_color
011,1384875XAT,Active ,F48/45       ,F48    ,Basis  ,Textile                   ,Grid-Anthrazit     ,black       ,F48               ,AT                 ,EG                      ,          ,          ,dark_seat
012,1384875XAT,Active ,F39          ,F48    ,Basis  ,Textile                   ,Grid-Anthrazit     ,black       ,F48               ,AT                 ,EG                      ,          ,          ,dark_seat
013,1384875XAT,Active ,PHEV         ,F48    ,Basis  ,Textile                   ,Grid-Anthrazit     ,black       ,F48               ,AT                 ,EG                      ,          ,          ,dark_seat
021,1384887XSW,Active ,F48/45       ,F48    ,Basis  ,Leatherette               ,Black              ,black       ,F48               ,SW                 ,KC                      ,          ,          ,dark_seat
022,1384887XSW,Active ,F39          ,F48    ,Basis  ,Leatherette               ,Black              ,black       ,F48               ,SW                 ,KC                      ,          ,          ,dark_seat
023,1384887XSW,Active ,PHEV         ,F48    ,Basis  ,Leatherette               ,Black              ,black       ,F48               ,SW                 ,KC                      ,          ,          ,dark_seat
031,1384909XSW,Active ,F48/45       ,F48    ,Basis  ,Leather                   ,Black              ,black       ,F48               ,SW                 ,LC                      ,          ,          ,dark_seat
033,1384909XSW,Active ,PHEV         ,F48    ,Basis  ,Leather                   ,Black              ,black       ,F48               ,SW                 ,LC                      ,          ,          ,dark_seat
041,1384887XCX,Active ,F48/45       ,F48    ,Basis  ,Leatherette               ,Oyster-Grey        ,beige       ,F48               ,CX                 ,KC                      ,          ,          ,bright_seat
042,1384887XCX,Active ,F39          ,F48    ,Basis  ,Leatherette               ,Oyster-Grey        ,beige       ,F48               ,CX                 ,KC                      ,          ,          ,bright_seat
043,1384887XCX,Active ,PHEV         ,F48    ,Basis  ,Leatherette               ,Oyster-Grey        ,beige       ,F48               ,CX                 ,KC                      ,          ,          ,bright_seat
052,1384914XFM,Active ,F39          ,F48    ,Basis  ,Leather                   ,Red                ,grey        ,F48               ,FM                 ,PD                      ,Yes       ,          ,dark_seat
061,1384914XL3,Active ,F48          ,F48    ,Basis  ,Leather                   ,Black_Red          ,red         ,F48               ,L3                 ,PD                      ,Yes       ,          ,dark_seat
071,1384914XMZ,Active ,F48/45       ,F48    ,Basis  ,Leather                   ,Mokka              ,brown       ,F48               ,MZ                 ,PD                      ,Yes       ,          ,dark_seat
072,1384914XMZ,Active ,F39          ,F48    ,Basis  ,Leather                   ,Mokka              ,brown       ,F48               ,MZ                 ,PD                      ,Yes       ,          ,dark_seat
073,1384914XMZ,Active ,PHEV         ,F48    ,Basis  ,Leather                   ,Mokka              ,brown       ,F48               ,MZ                 ,PD                      ,Yes       ,          ,dark_seat
081,1384914XOA,Active ,F48/45       ,F48    ,Basis  ,Leather                   ,Oyster-Grey        ,grey        ,F48               ,OA                 ,PD                      ,Yes       ,          ,dark_seat
082,1384914XOA,Active ,F39          ,F48    ,Basis  ,Leather                   ,Oyster-Grey        ,grey        ,F48               ,OA                 ,PD                      ,Yes       ,          ,dark_seat
083,1384914XOA,Active ,PHEV         ,F48    ,Basis  ,Leather                   ,Oyster-Grey        ,grey        ,F48               ,OA                 ,PD                      ,Yes       ,          ,dark_seat
091,1384914XSW,Active ,F48/45       ,F48    ,Basis  ,Leather                   ,Black              ,grey        ,F48               ,SW                 ,PD                      ,Yes       ,          ,dark_seat
092,1384914XSW,Active ,F39          ,F48    ,Basis  ,Leather                   ,Black              ,grey        ,F48               ,SW                 ,PD                      ,Yes       ,          ,dark_seat
093,1384914XSW,Active ,PHEV         ,F48    ,Basis  ,Leather                   ,Black              ,grey        ,F48               ,SW                 ,PD                      ,Yes       ,          ,dark_seat
100,1384928XL1,Active ,F48/45       ,F48    ,Sport  ,Textile                   ,Race-Anthrazit-Grey,grey        ,F48               ,L1                 ,ER                      ,          ,          ,dark_seat
102,1384928XL1,Active ,F39          ,F48    ,Sport  ,Textile                   ,Race-Anthrazit-Grey,grey        ,F48               ,L1                 ,ER                      ,          ,          ,dark_seat
103,1384928XL1,Active ,PHEV         ,F48    ,Sport  ,Textile                   ,Race-Anthrazit-Grey,grey        ,F48               ,L1                 ,ER                      ,          ,          ,dark_seat
111,1384928XL2,Active ,F48          ,F48    ,Sport  ,Textile                   ,Race-Anthrazit-Red ,red         ,F48               ,L2                 ,ER                      ,          ,          ,dark_seat
121,1430101XAT,Active ,F48/45       ,F48    ,M_Sport,Alcantara                 ,Anthrazit          ,blue        ,F48               ,AT                 ,HM                      ,          ,          ,dark_seat
122,1430101XAT,Active ,F39          ,F48    ,M_Sport,Alcantara                 ,Anthrazit          ,blue        ,F48               ,AT                 ,HM                      ,          ,          ,dark_seat
132,1430101XIL,Active ,F39          ,F48    ,M_Sport,Alcantara                 ,Anthrazit          ,gold        ,F48               ,IL                 ,HM                      ,          ,          ,dark_seat
140,1430107XAT,Active ,F46          ,F46    ,Basis  ,Textile                   ,Grid-Anthrazit     ,black       ,F46               ,AT                 ,EG                      ,          ,          ,dark_seat
150,1430109XAT,Active ,F46          ,F46    ,Basis  ,Textile                   ,Grid-Anthrazit     ,black       ,F46               ,AT                 ,EG                      ,          ,Yes       ,dark_seat
160,1430115XSW,Active ,F46          ,F46    ,Basis  ,Leather                   ,Black              ,black       ,F46               ,SW                 ,LC                      ,          ,          ,dark_seat
172,2350049XSW,Active ,MPA          ,F48    ,M_Sport,Alcantara                 ,Anthrazit          ,blue        ,F48               ,SW                 ,HL                      ,          ,          ,dark_seat
